"ids","names","popularity","followers","genres","first_release","last_release","num_releases","num_tracks","monthly_listeners","fuente","log_followers","log_monthly_listeners","z_monthly_listeners","z_followers","z_popularity","indice_demanda_digital","nivel_demanda_digital"
"1XRhUgCyzIdeT8d9KMfeDR","aborted",40,136712,"belgian death metal, belgian metal, brutal death metal, death metal, deathgrind, goregrind, grindcore, technical death metal",2001,2024,20,1,159211,"base_featured",5.13580981346926,5.20197579793292,0.571192827073548,0.995177657176928,0.605281445853945,0.723883976701474,"demanda_media"
"10gzBoINW3cLJfZUka8Zoe","above & beyond",58,791074,"edm, progressive house, progressive trance, trance, uplifting trance",2006,2024,20,13,2199488,"base_featured",5.89821765990988,6.34232179434141,1.27897447814249,1.57784542637354,1.43936462861966,1.43206151104523,"demanda_media"
"1ZHk8dteZz6Vi2HFp4hGoM","abra cadabra",52,342181,"grime, uk drill, uk hip hop",2020,2024,20,1,1068478,"base_featured",5.53425716035914,6.02876599091399,1.08435894482973,1.29968977341302,1.16133690103109,1.18179520642462,"demanda_media"
"2f6fW5uWhqbEDXDK6IGirN","abraham alexander",34,23471,"fort worth indie",2019,2023,14,1,154569,"base_featured",4.37055009649921,5.18912520692553,0.563216815802347,0.41033035500833,0.327253718265374,0.433600296358683,"demanda_media"
"6EqFMCnVGBRNmwPlk2f3Uc","ac slater",49,109576,"bass house, brostep, electro house, fidget house",2017,2024,20,1,705216,"base_featured",5.03971940614358,5.84832277288027,0.972362761928808,0.921740869322457,1.0223230372368,0.972142222829356,"demanda_media"
"711MCceyCBcFnzjGY4Q7Un","ac/dc",79,28226488,"australian rock, hard rock, rock",1976,2020,20,9,36705702,"base_featured",7.45065686104614,7.56473354624147,2.03769210487232,2.76429214299962,2.41246167517966,2.40481530768386,"demanda_alta"
"5o2KBzYUFierWmBhSemAhq","ace aura",34,34862,"brostep, dubstep, gaming dubstep",2021,2024,20,1,99291,"base_featured",4.54236475590613,4.996914258608,0.443916723740663,0.541639161415927,0.327253718265374,0.437603201140655,"demanda_media"
"5ksRONqssB7BR161NTtJAm","ace of base",69,786745,"eurodance, europop, new wave pop",1992,2023,20,3,9521370,"base_featured",5.89583454353652,6.97869948776105,1.6739567519178,1.57602413727285,1.94908212919871,1.73302100612979,"demanda_alta"
"2NArTWfXN317Ok1Ale3xkX","acemo",25,10264,"experimental techno",2014,2024,20,2,57737,"base_featured",4.01135895370661,4.76146173617776,0.297777766267331,0.135819667764973,-0.0897878731174836,0.114603186971607,"demanda_media"
"3LHqODf1hGAgZ5LTw1Gf4C","acid pauli",45,148652,"organic electronic, organic house",2012,2023,20,1,496956,"base_featured",5.17217367822511,5.69631881233368,0.878018050320646,1.02296862503695,0.836971218844421,0.912652631400671,"demanda_media"
